Consulta de Movimientos										
										
Cuenta: 97616100685										
Desde 01/08/2012 Hasta el 07/02/2013										
Fecha	Descripción	Ref. 	Débitos (DR)	Créditos (CR)	Saldo Contable	Ref2	Tipo Tran	Causa	Sucursal	D/C
8/1/2012	CREDITO MASIVO SINPE (SERVICIOS HOSPITALAR - HOSPITALES INTERNACIONALES S.A. - HOSPITALES INTERNACIONALES S.A.)	307006909 		"6,000,000.00"	"76,589,079.05"	307006909	253	1004	50 - CASA MATRIZ - GERENCIA AD	C
8/3/2012	 LINEA SINPE (DR.ALTAMIRANO.SALAR.AGOST12.INVERS.ELBOSQUE - DR.ALTAMIRANO.SALAR)	620551869 	"876,800.00"		"75,712,279.05"	620551869	264	1013	50 - CASA MATRIZ - GERENCIA AD	D
8/3/2012	COMISION POR TRANSACCION SINPE (Lote SINPE # 955004 - TRANSFERENCIA SINPE)	1682886077 	"2,500.00"		"75,709,779.05"	1682886077	264	1017	50 - CASA MATRIZ - GERENCIA AD	D
8/3/2012	 LINEA SINPE (LICDA.MONTERO.SALAR.AGOST2012.INVERS.ELBOSQUE - LICDA.MONTERO.SALAR.)	622197106 	"499,565.00"		"75,210,214.05"	622197106	264	1013	50 - CASA MATRIZ - GERENCIA AD	D
8/3/2012	COMISION POR TRANSACCION SINPE (Lote SINPE # 955007 - TRANSFERENCIA SINPE)	1682886324 	"2,500.00"		"75,207,714.05"	1682886324	264	1017	50 - CASA MATRIZ - GERENCIA AD	D
8/3/2012	"TRF A 01405196430, DAVIVIENDA LIN-TRF-COL (DR.SOLORZANO Salario Ag #3304863)"	1682886531 	"408,735.00"		"74,798,979.05"	1682886531	264	691	50 - CASA MATRIZ - GERENCIA AD	D
8/6/2012	RETIRO AHORROS S/L (POLIZA DE RESP CIVIL)	1684330891 	"1,917,192.00"		"72,881,787.05"	1684330891	263		18 - CLIN. INTEGRADA SAN EUSTAQUIO	D
8/6/2012	"TRF A 01423000031, DAVIVIENDA LINEA-PAGO ARP (ICE TELEFONO 88888888)"	1685033316 	"3,305.00"		"72,878,482.05"	1685033316	264	599	50 - CASA MATRIZ - GERENCIA AD	D
8/8/2012	"TRF A 01427043474, DAVIVIENDA LINEA-PAGO ARP (CCSS)"	1686387073 	"676,800.00"		"72,201,682.05"	1686387073	264	599	50 - CASA MATRIZ - GERENCIA AD	D
8/10/2012	RETIRO AHORROS S/L (proveedor m julio)	1687982694 	"3,870,500.00"		"68,331,182.05"	1687982694	263		18 - CLIN. INTEGRADA SAN EUSTAQUIO	D
8/10/2012	VOUCHER AHO (proveedor h julio)	1687984221 	"2,850,000.00"		"65,481,182.05"	1687984221	26053		18 - CLIN. INTEGRADA SAN EUSTAQUIO	D
